,t,E1,Emass,Ebound,4,5,6,7,delta,Model,Res,nCells
1,3.0,0.004279,1.7e-16,2.22e-16,0.0,0.0,0.0419,8192.0,6.104e-05,isoAlpha,32,16382.699868938402
3,3.0,0.001245,7.112e-16,2.22e-16,0.0,0.0,0.02089,65540.0,7.629e-06,isoAlpha,64,131078.7783457858
5,3.0,0.0003086,3.482e-15,3.916e-10,0.0,0.0,0.01043,524300.0,9.537e-07,isoAlpha,128,1048547.7613505294
7,3.0,0.005616,1.926e-16,2.22e-16,0.0,0.0,0.0419,8192.0,6.104e-05,plicRDF,32,16382.699868938402
9,3.0,0.001506,8.413e-16,2.22e-16,0.0,0.0,0.02089,65540.0,7.629e-06,plicRDF,64,131078.7783457858
11,3.0,0.0003628,3.445e-15,2.591e-15,0.0,0.0,0.01043,524300.0,9.537e-07,plicRDF,128,1048547.7613505294
13,3.0,0.00705,2.55e-16,0.0003898,0.0,0.0,0.0419,8192.0,6.104e-05,MULES,32,16382.699868938402
15,3.0,0.003698,1.405e-16,0.002947,0.0,0.0,0.02089,65540.0,7.629e-06,MULES,64,131078.7783457858
17,3.0,0.002274,2.677e-15,0.01564,0.0,0.0,0.01043,524300.0,9.537e-07,MULES,128,1048547.7613505294
