,t,E1,Emass,Ebound,4,5,6,7,delta,Model,Res,nCells
1,3.0,0.00639,3.244e-16,2.22e-16,0.0,0.0,0.02587,16380.0,1.526e-05,isoAlpha,32,65530.79947575361
3,3.0,0.002056,2.023e-15,5.193e-14,0.0,0.0,0.01298,131100.0,1.907e-06,isoAlpha,64,524383.8489774516
5,3.0,0.0003371,1.242e-14,7.687e-12,0.0,0.0,0.0065,1049000.0,2.384e-07,isoAlpha,128,4194630.872483222
7,3.0,0.006504,2.29e-16,2.22e-16,0.0,0.0,0.02587,16380.0,1.526e-05,plicRDF,32,65530.79947575361
9,3.0,0.002015,1.913e-15,1.535e-13,0.0,0.0,0.01298,131100.0,1.907e-06,plicRDF,64,524383.8489774516
11,3.0,0.0003526,1.289e-14,3.305e-14,0.0,0.0,0.0065,1049000.0,2.384e-07,plicRDF,128,4194630.872483222
13,3.0,0.01032,2.082e-17,0.0008192,0.0,0.0,0.02587,16380.0,1.526e-05,MULES,32,65530.79947575361
15,3.0,0.005883,1.017e-15,0.01521,0.0,0.0,0.01298,131100.0,1.907e-06,MULES,64,524383.8489774516
17,3.0,0.00314,7.654e-15,0.001759,0.0,0.0,0.0065,1049000.0,2.384e-07,MULES,128,4194630.872483222
