,t,E1,Emass,Ebound,4,5,6,7,delta,Model,Res,nCells
1,3.0,0.006989,1.849e-15,4.441e-16,0.0,0.0,0.01585,33650.0,7.4e-06,isoAlpha,32,135135.13513513512
3,3.0,0.002208,4.172e-15,2.22e-16,0.0,0.0,0.007847,279600.0,8.94e-07,isoAlpha,64,1118568.2326621923
5,3.0,0.007528,1.121e-15,2.22e-16,0.0,0.0,0.01585,33650.0,7.4e-06,plicRDF,32,135135.13513513512
7,3.0,0.002248,4.347e-15,2.22e-16,0.0,0.0,0.007847,279600.0,8.94e-07,plicRDF,64,1118568.2326621923
9,3.0,0.01161,3.438e-15,4.442e-06,0.0,0.0,0.01585,33650.0,7.4e-06,MULES,32,135135.13513513512
11,3.0,0.008352,2.385e-15,1.341e-06,0.0,0.0,0.007847,279600.0,8.94e-07,MULES,64,1118568.2326621923
