,t,E1,Emass,Ebound,4,5,6,7,delta,Model,CFL,Res,nCells
124,0.5,2.017961901275672e-05,2.453592884421596e-14,8.470329472543003e-22,0.0,0.0,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL005,160,58588.00000000903
129,0.5,0.004225724445325094,2.775557561562892e-17,7.164954141319716e-15,0.0,0.0,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL01,10,198.00000000000009
134,0.5,0.0012222818696030556,8.326672684688674e-17,2.312098003288804e-16,0.0,0.0,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL01,20,849.9999999999993
139,0.5,0.0003056429510079735,2.2204460492503126e-16,4.3387515802351123e-13,0.0,0.0,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL01,40,3552.0000000000023
144,0.5,7.554049419708787e-05,1.3877787807814457e-15,5.10702591327572e-15,0.0,0.0,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL01,80,14571.99999999983
149,0.5,2.132261778799348e-05,1.126876369994534e-14,1.603162047558726e-13,0.0,0.0,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL01,160,58588.00000000903
154,0.5,0.003663580394852419,4.163336342344337e-17,3.741451592986778e-13,0.0,0.0,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL02,10,198.00000000000009
159,0.5,0.0010223736036544789,2.775557561562892e-17,9.711105833457652e-15,0.0,0.0,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL02,20,849.9999999999993
164,0.5,0.0002665651408785414,8.326672684688674e-17,3.26405569239796e-14,0.0,0.0,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL02,40,3552.0000000000023
169,0.5,8.973358005251817e-05,1.1379786002407857e-15,1.7763568394002505e-15,0.0,0.0,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL02,80,14571.99999999983
174,0.5,3.9068344840261787e-05,8.93729534823251e-15,2.2204460492503126e-16,0.0,0.0,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL02,160,58588.00000000903
179,0.5,0.002556267677748472,1.3877787807814457e-17,7.076881817732801e-14,0.0,0.0,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL05,10,198.00000000000009
184,0.5,0.0011466198252758398,8.326672684688674e-17,1.021405182655144e-14,0.0,0.0,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL05,20,849.9999999999993
